group,team_slot,team,is_host_team,host_country_if_host,first_match_id,team_key,group_winner_probability,group_runner_up_probability,best_third_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,third_place_match_probability,champion_probability,runner_up_probability,third_place_probability,fourth_place_probability,group_stage_exit_probability,top_4_probability,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,top2_probability,kaggle_champion_probability,elo_country,elo_year,elo_snapshot_date,elo_rank,elo_rating,elo_rank_avg,elo_rating_avg,elo_matches_total,elo_wins,elo_losses,elo_draws,elo_goals_for,elo_goals_against,elo_confederation,elo_is_host,fc26_players_count,fc26_top23_overall_mean,fc26_top11_overall_mean,fc26_max_overall,fc26_attack_mean,fc26_midfield_mean,fc26_defense_mean,fc26_physical_mean,fc26_goalkeepers_count,fc26_top3_gk_mean,fc25_players_count,fc25_top23_overall_mean,fc25_top11_overall_mean,fc25_total_value_eur_top23,fc25_int_caps_top23,elo_score,elo_rank_score,squad_fc26_score,squad_fc25_score,market_fc25_score,kaggle_prob_score,combined_strength,combined_rank
B,B3,Switzerland,False,,6,switzerland,0.4869,0.2905,0.1165,0.8939,0.6203,0.305,0.1539,0.0671,0.0868,0.0267,0.0404,0.0444,0.0424,0.1060999999999999,0.1539,0.4869,0.2905,0.1513,0.0713,0.7774,0.0267,Switzerland,2026.0,2026-12-31,16.0,1889.0,27.0,1690.0,895.0,319.0,373.0,203.0,1335.0,1482.0,UEFA,0.0,232.0,78.52173913043478,81.45454545454545,87.0,69.08695652173913,71.73913043478261,62.391304347826086,76.82608695652173,30.0,83.33333333333333,59.0,83.30434782608695,85.54545454545455,1002297586.0,1273.0,0.6270270270270271,0.8404255319148937,0.6769311983107512,0.45689655172413757,0.9703181053850232,0.09178411825369544,0.5418530448847363,11
F,F1,Japan,False,,10,japan,0.2631,0.2915,0.1733,0.7279,0.3303,0.1362,0.058,0.0159,0.0421,0.0041,0.0118,0.0175,0.0246,0.2721,0.0579999999999999,0.2631,0.2915,0.2474,0.198,0.5546,0.0041,Japan,2026.0,2026-12-31,13.0,1904.0,62.0,1467.0,835.0,408.0,257.0,170.0,1517.0,985.0,AFC,0.0,99.0,77.17391304347827,79.27272727272727,82.0,66.26086956521739,70.08695652173913,60.73913043478261,71.47826086956522,4.0,72.0,51.0,84.26086956521739,88.81818181818181,1345500748.0,778.0,0.6472972972972973,0.8723404255319149,0.61147281365476,0.6465517241379313,0.9841045034084319,0.01409419044345136,0.5379420999739669,12
G,G2,Belgium,False,,14,belgium,0.4229,0.2908,0.1485,0.8622,0.5544,0.2785,0.1089,0.0584,0.0505,0.0212,0.0372,0.0244,0.0261,0.1378,0.1089,0.4229,0.2908,0.1892,0.0971,0.7137,0.0212,Belgium,2026.0,2026-12-31,19.0,1867.0,24.0,1755.0,876.0,390.0,302.0,184.0,1599.0,1359.0,UEFA,0.0,285.0,81.17391304347827,83.72727272727273,89.0,73.26086956521739,76.08695652173913,53.30434782608695,73.34782608695652,46.0,84.66666666666667,54.0,82.6086956521739,85.18181818181819,820270833.0,1414.0,0.5972972972972973,0.8085106382978724,0.80573640682738,0.3189655172413782,0.9609351533397839,0.07287727741491921,0.5375320559314336,13
H,H3,Uruguay,False,,15,uruguay,0.2435,0.4247,0.1679,0.8361,0.4437,0.266,0.1469,0.0788,0.0681,0.0303,0.0485,0.033,0.0351,0.1639,0.1468999999999999,0.2435,0.4247,0.2361,0.0957,0.6682,0.0303,Uruguay,2026.0,2026-12-31,15.0,1892.0,12.0,1876.0,1019.0,446.0,321.0,252.0,1610.0,1254.0,CONMEBOL,0.0,210.0,78.91304347826087,81.18181818181819,89.0,69.04347826086956,70.1304347826087,63.47826086956522,75.82608695652173,17.0,76.0,49.0,81.95652173913044,85.54545454545455,834715577.0,1185.0,0.6310810810810811,0.851063829787234,0.6959352454689426,0.18965517241379368,0.9617524209464802,0.10415950498453078,0.5232443379249423,14
F,F2,Netherlands,False,,10,netherlands,0.4719,0.273,0.1237,0.8686,0.5437,0.3012,0.1679,0.0692,0.0987,0.0316,0.0376,0.0525,0.0462,0.1313999999999999,0.1679,0.4719,0.273,0.1583,0.0968,0.7449,0.0316,Netherlands,2026.0,2026-12-31,8.0,1961.0,15.0,1848.0,901.0,465.0,239.0,197.0,1892.0,1142.0,UEFA,0.0,,,,,,,,,,,54.0,81.78260869565217,85.18181818181819,945406740.0,1226.0,0.7243243243243244,0.925531914893617,,0.15517241379310315,0.9675823279785812,0.10862839463733243,0.5231143555248399,15
I,I1,Senegal,False,,18,senegal,0.1907,0.3098,0.216,0.7165,0.3949,0.1704,0.071,0.0235,0.0475,0.0077,0.0158,0.016,0.0315,0.2835,0.071,0.1907,0.3098,0.3119,0.1876,0.5005000000000001,0.0077,Senegal,2026.0,2026-12-31,17.0,1878.0,56.0,1590.0,704.0,319.0,192.0,193.0,967.0,669.0,CAF,0.0,119.0,77.52173913043478,79.72727272727273,83.0,66.91304347826087,69.08695652173913,58.08695652173913,73.69565217391305,11.0,76.0,64.0,83.73913043478261,87.0909090909091,1258954688.0,1597.0,0.6121621621621621,0.8297872340425532,0.6283653000175963,0.5431034482758624,0.9809918688046344,0.026469577174286697,0.5207192499499366,16
E,E3,Ecuador,False,,11,ecuador,0.4379,0.3019,0.1354,0.8752,0.5077,0.3284,0.1701,0.0582,0.1119,0.0193,0.0389,0.0476,0.0643,0.1248,0.1701,0.4379,0.3019,0.1801,0.0801,0.7398,0.0193,Ecuador,2026.0,2026-12-31,9.0,1933.0,64.0,1525.0,598.0,183.0,254.0,161.0,719.0,903.0,CONMEBOL,0.0,107.0,74.04347826086956,77.18181818181819,87.0,61.56521739130435,65.78260869565217,57.91304347826087,71.82608695652173,9.0,73.0,49.0,83.34782608695652,86.0909090909091,1088770873.0,1211.0,0.6864864864864865,0.9148936170212766,0.45944043638923093,0.46551724137930944,0.9741924594364871,0.06634582330697834,0.5155564965099196,17
C,C1,Morocco,False,,7,morocco,0.2944,0.3375,0.1792,0.8111,0.43,0.1897,0.0861,0.0282,0.0579,0.0089,0.0193,0.0231,0.0348,0.1888999999999999,0.0861,0.2944,0.3375,0.2439,0.1242,0.6319,0.0089,Morocco,2026.0,2026-12-31,24.0,1822.0,43.0,1657.0,728.0,364.0,165.0,199.0,1103.0,614.0,CAF,0.0,121.0,78.52173913043478,80.9090909090909,89.0,69.56521739130434,72.3913043478261,53.34782608695652,69.82608695652173,3.0,71.0,46.0,83.26086956521739,87.36363636363636,1241095057.0,980.0,0.5364864864864864,0.7553191489361702,0.6769311983107512,0.44827586206896564,0.9803229566934455,0.030594706084565142,0.49554833457477127,18
D,D3,Turkey,False,,5,turkey,0.2738,0.2559,0.1685,0.6982,0.3576,0.16,0.0497,0.018,0.0317,0.0051,0.0129,0.0111,0.0206,0.3017999999999999,0.0496999999999999,0.2738,0.2559,0.2371,0.2332,0.5297000000000001,0.0051,Turkey,2026.0,2026-12-31,14.0,1902.0,42.0,1611.0,669.0,263.0,250.0,156.0,947.0,969.0,UEFA,0.0,259.0,78.43478260869566,80.27272727272727,86.0,67.78260869565217,72.52173913043478,61.869565217391305,72.6086956521739,42.0,78.33333333333333,61.0,81.56521739130434,84.45454545454545,705537430.0,1573.0,0.6445945945945946,0.8617021276595744,0.6727080767200423,0.1120689655172407,0.9538809445393126,0.017531797868683398,0.49283841723144073,19
J,J2,Austria,False,,17,austria,0.1597,0.2902,0.193,0.6429,0.2165,0.0869,0.0314,0.0106,0.0208,0.0024,0.0082,0.0067,0.0141,0.3571,0.0314,0.1597,0.2902,0.3025,0.2476,0.4499,0.0024,Austria,2026.0,2026-12-31,23.0,1827.0,20.0,1810.0,865.0,370.0,310.0,185.0,1560.0,1321.0,UEFA,0.0,266.0,77.17391304347827,79.0909090909091,82.0,61.21739130434783,70.82608695652173,66.82608695652173,72.30434782608695,46.0,72.33333333333333,62.0,82.65217391304348,86.45454545454545,978032886.0,1235.0,0.5432432432432432,0.7659574468085106,0.61147281365476,0.327586206896553,0.9691707529776511,0.008250257820556892,0.4664393786651735,20
J,J3,Algeria,False,,20,algeria,0.1449,0.2841,0.1935,0.6225,0.2027,0.0777,0.0236,0.008,0.0156,0.0017,0.0063,0.0045,0.0111,0.3774999999999999,0.0236,0.1449,0.2841,0.2935,0.2775,0.429,0.0017,Algeria,2026.0,2026-12-31,35.0,1743.0,48.0,1621.0,688.0,309.0,196.0,183.0,1052.0,703.0,CAF,0.0,54.0,76.43478260869566,79.0,84.0,68.52173913043478,73.21739130434783,56.78260869565217,67.69565217391305,,,62.0,84.82608695652173,88.72727272727273,1375603756.0,1496.0,0.4297297297297297,0.6382978723404256,0.5755762801337323,0.7586206896551719,0.985140409127693,0.005843932622894466,0.46221456872723155,21
D,D2,USA,True,USA,4,united states,0.2101,0.2428,0.1711,0.624,0.2875,0.1105,0.0274,0.0079,0.0195,0.0027,0.0052,0.006,0.0135,0.376,0.0274,0.2101,0.2428,0.2545,0.2926,0.4528999999999999,0.0027,United States,2026.0,2026-12-31,41.0,1721.0,41.0,1642.0,825.0,366.0,286.0,173.0,1246.0,1073.0,CONCACAF,1.0,400.0,77.04347826086956,79.54545454545455,84.0,64.65217391304348,68.82608695652173,63.130434782608695,73.95652173913044,59.0,73.0,58.0,85.08695652173913,88.45454545454545,1440767880.0,1234.0,0.4,0.574468085106383,0.605138131268696,0.8103448275862063,0.9873072846180306,0.009281540048126504,0.46056003099683285,22
A,A4,South Korea,False,,2,south korea,0.2618,0.2809,0.1824,0.7251,0.3525,0.1399,0.0449,0.0134,0.0315,0.0037,0.0097,0.0096,0.0219,0.2749,0.0449,0.2618,0.2809,0.2589,0.1984,0.5427,0.0037,South Korea,2026.0,2026-12-31,33.0,1752.0,35.0,1687.0,1050.0,571.0,221.0,258.0,1907.0,964.0,AFC,0.0,400.0,74.17391304347827,77.0,85.0,66.30434782608695,67.3913043478261,53.73913043478261,72.21739130434783,44.0,74.33333333333333,50.0,85.43478260869566,88.27272727272727,1453394540.0,1422.0,0.4418918918918919,0.6595744680851063,0.465775118775295,0.8793103448275874,0.9877157979004384,0.012719147473358543,0.45946784467768487,23
D,D1,Paraguay,False,,4,paraguay,0.2373,0.2464,0.1816,0.6653,0.3171,0.1433,0.0393,0.0143,0.025,0.0035,0.0108,0.0091,0.0159,0.3347,0.0393,0.2373,0.2464,0.2608,0.2555,0.4837,0.0035,Paraguay,2026.0,2026-12-31,22.0,1833.0,23.0,1755.0,788.0,276.0,303.0,209.0,1002.0,1115.0,CONMEBOL,0.0,152.0,74.1304347826087,75.63636363636364,79.0,64.30434782608695,65.26086956521739,55.08695652173913,69.04347826086956,11.0,71.33333333333333,52.0,82.95652173913044,86.0,1008704702.0,1532.0,0.5513513513513514,0.7765957446808511,0.4636635579799405,0.3879310344827593,0.9706164301667398,0.012031625988312136,0.447092776863939,24
F,F4,Sweden,False,,12,sweden,0.1253,0.2162,0.1937,0.5352,0.1972,0.0731,0.0247,0.0076,0.0171,0.002,0.0056,0.0058,0.0113,0.4648,0.0247,0.1253,0.2162,0.3063,0.3522,0.3415,0.002,Sweden,2026.0,2026-12-31,43.0,1719.0,17.0,1795.0,1118.0,549.0,335.0,234.0,2226.0,1482.0,UEFA,0.0,375.0,77.52173913043478,80.27272727272727,88.0,66.30434782608695,70.65217391304348,57.56521739130435,73.1304347826087,44.0,73.0,47.0,82.8695652173913,86.72727272727273,985338305.0,1517.0,0.3972972972972973,0.5531914893617021,0.6283653000175963,0.37068965517241265,0.969519156518149,0.006875214850464077,0.41605621814568594,25
G,G1,Egypt,False,,14,egypt,0.1756,0.2465,0.2029,0.625,0.2486,0.0675,0.0143,0.0043,0.01,0.0011,0.0032,0.0027,0.0073,0.375,0.0143,0.1756,0.2465,0.3008,0.2771,0.4221,0.0011,Egypt,2026.0,2026-12-31,51.0,1689.0,37.0,1662.0,883.0,446.0,216.0,221.0,1544.0,921.0,CAF,0.0,9.0,72.66666666666667,72.66666666666667,91.0,57.666666666666664,59.22222222222222,51.0,73.11111111111111,,,68.0,86.04347826086956,89.27272727272727,1889452200.0,1465.0,0.3567567567567568,0.46808510638297873,0.3925743445363367,1.0,1.0,0.0037813681677552427,0.41545791077669325,26
C,C3,Scotland,False,,8,scotland,0.1358,0.2593,0.2394,0.6345,0.2491,0.084,0.029,0.0073,0.0217,0.0019,0.0054,0.0076,0.0141,0.3655,0.029,0.1358,0.2593,0.3645,0.2404,0.3951,0.0019,Scotland,2026.0,2026-12-31,29.0,1767.0,14.0,1879.0,867.0,411.0,268.0,188.0,1495.0,1075.0,UEFA,0.0,254.0,75.91304347826087,78.63636363636364,85.0,65.34782608695652,70.8695652173913,65.43478260869566,72.08695652173913,23.0,69.66666666666667,38.0,81.8695652173913,85.27272727272727,863649638.0,1053.0,0.46216216216216216,0.7021276595744681,0.5502375505894777,0.172413793103447,0.9633477789961707,0.006531454107940873,0.41100983735282987,27
E,E4,Côte d'Ivoire,False,,11,cote d ivoire,0.1366,0.2327,0.2195,0.5888,0.1827,0.0569,0.0126,0.0022,0.0104,0.0002,0.002,0.0033,0.0071,0.4112,0.0126,0.1366,0.2327,0.3328,0.2979,0.3692999999999999,0.0002,Ivory Coast,2026.0,2026-12-31,52.0,1676.0,45.0,1640.0,692.0,348.0,166.0,178.0,1130.0,695.0,CAF,0.0,118.0,77.52173913043478,79.27272727272727,81.0,65.26086956521739,69.3913043478261,57.91304347826087,72.91304347826087,3.0,73.0,52.0,83.34782608695652,87.27272727272727,1178562718.0,1444.0,0.33918918918918917,0.45744680851063835,0.6283653000175963,0.46551724137930944,0.9779025670722805,0.0006875214850464077,0.40072889936830103,28
A,A3,Czech Republic,False,,2,czech republic,0.1997,0.2512,0.1838,0.6347,0.2615,0.0823,0.0239,0.0051,0.0188,0.0008,0.0043,0.0044,0.0144,0.3652999999999999,0.0239,0.1997,0.2512,0.2824,0.2667,0.4508999999999999,0.0008,Czechia,2026.0,2026-12-31,40.0,1726.0,13.0,1855.0,882.0,424.0,261.0,197.0,1624.0,1097.0,UEFA,0.0,88.0,75.91304347826087,77.54545454545455,85.0,68.8695652173913,71.30434782608695,56.34782608695652,76.08695652173913,16.0,75.33333333333333,55.0,82.0,84.72727272727273,805692474.0,1482.0,0.40675675675675677,0.5851063829787234,0.5502375505894777,0.1982758620689656,0.9600956017705642,0.002750085940185631,0.38677200547395646,29
A,A2,Mexico,True,Mexico,1,mexico,0.4269,0.2841,0.138,0.849,0.4762,0.1988,0.073,0.0212,0.0518,0.007,0.0142,0.0203,0.0315,0.151,0.073,0.4269,0.2841,0.1803,0.1087,0.7110000000000001,0.007,Mexico,2026.0,2026-12-31,20.0,1860.0,20.0,1782.0,1028.0,533.0,258.0,237.0,1823.0,1055.0,CONCACAF,1.0,27.0,70.0,75.9090909090909,80.0,60.47826086956522,62.73913043478261,49.65217391304348,66.21739130434783,4.0,64.66666666666667,58.0,81.26086956521739,85.18181818181819,720133806.0,1272.0,0.5878378378378378,0.7978723404255319,0.2630652824212565,0.051724137931034385,0.9548396355818005,0.024063251976624272,0.3860319403317035,30
B,B2,Canada,True,Canada,3,canada,0.3407,0.3449,0.1555,0.8411,0.4642,0.1855,0.0589,0.0186,0.0403,0.0053,0.0133,0.0133,0.027,0.1589,0.0589,0.3407,0.3449,0.2125,0.1019,0.6856,0.0053,Canada,2026.0,2026-12-31,25.0,1784.0,49.0,1599.0,488.0,189.0,185.0,114.0,626.0,623.0,CONCACAF,1.0,80.0,73.6086956521739,77.0909090909091,84.0,63.65217391304348,64.56521739130434,53.34782608695652,73.78260869565217,12.0,73.33333333333333,46.0,81.0,85.36363636363636,817425651.0,1371.0,0.4851351351351351,0.7446808510638299,0.4383248284356851,0.0,0.9607724805508286,0.018219319353729804,0.38404891247081907,31
D,D4,Australia,False,,5,australia,0.2788,0.2549,0.1781,0.7118,0.3576,0.167,0.0483,0.017,0.0313,0.0044,0.0126,0.0111,0.0202,0.2882,0.0483,0.2788,0.2549,0.2476,0.2187,0.5337000000000001,0.0044,Australia,2026.0,2026-12-31,26.0,1783.0,35.0,1672.0,635.0,326.0,179.0,130.0,1289.0,714.0,AFC,0.0,257.0,70.82608695652173,72.0909090909091,75.0,58.65217391304348,61.73913043478261,57.91304347826087,74.56521739130434,27.0,68.66666666666667,49.0,82.1304347826087,86.45454545454545,914895855.0,1522.0,0.4837837837837838,0.7340425531914894,0.303184937532993,0.2241379310344842,0.9660464808209495,0.01512547267102097,0.37778699812499217,32
G,G4,Iran,False,,16,iran,0.2958,0.2997,0.1681,0.7636,0.3945,0.1507,0.0484,0.0185,0.0299,0.0049,0.0136,0.0114,0.0185,0.2364,0.0484,0.2958,0.2997,0.2374,0.1671,0.5955,0.0049,Iran,2026.0,2026-12-31,31.0,1760.0,41.0,1658.0,668.0,382.0,132.0,154.0,1270.0,524.0,AFC,0.0,6.0,71.0,71.0,78.0,61.666666666666664,63.5,48.833333333333336,70.83333333333333,1.0,68.0,50.0,82.04347826086956,86.36363636363636,1123189311.0,1125.0,0.4527027027027027,0.6808510638297872,0.3116311807144115,0.20689655172413754,0.9756495506707545,0.01684427638363699,0.36605269753693515,33
K,K1,DR Congo,False,,21,congo dr,0.0584,0.1398,0.1608,0.359,0.0917,0.0244,0.0039,0.0006,0.0033,0.0001,0.0005,0.0007,0.0026,0.641,0.0039,0.0584,0.1398,0.2857,0.5161,0.1982,0.0001,DR Congo,2026.0,2026-12-31,54.0,1655.0,62.0,1557.0,547.0,226.0,171.0,150.0,835.0,641.0,CAF,0.0,41.0,73.21739130434783,76.18181818181819,82.0,60.47826086956522,63.0,53.73913043478261,73.78260869565217,1.0,67.0,66.0,83.21739130434783,86.18181818181819,920078056.0,1676.0,0.3108108108108108,0.43617021276595747,0.4193207812774944,0.4396551724137937,0.9663109185106361,0.00034376074252320387,0.3458664295128711,34
H,H1,Cabo Verde,False,,13,cabo verde,0.0382,0.1302,0.1494,0.3178,0.0791,0.0177,0.0033,0.0005,0.0028,0.0,0.0005,0.0004,0.0024,0.6821999999999999,0.0033,0.0382,0.1302,0.292,0.5396,0.1684,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.3406046079347145,35
F,F3,Tunisia,False,,12,tunisia,0.1397,0.2193,0.184,0.543,0.1757,0.0568,0.0185,0.0036,0.0149,0.0007,0.0029,0.0038,0.0111,0.4569999999999999,0.0185,0.1397,0.2193,0.288,0.353,0.359,0.0007,Tunisia,2026.0,2026-12-31,58.0,1636.0,47.0,1616.0,775.0,330.0,229.0,216.0,1105.0,839.0,CAF,0.0,29.0,69.78260869565217,72.9090909090909,80.0,58.21739130434783,63.73913043478261,55.608695652173914,68.3913043478261,,,60.0,82.91304347826087,85.81818181818181,1002734898.0,1058.0,0.2851351351351351,0.3936170212765957,0.25250747844448357,0.37931034482758735,0.9703385278344053,0.002406325197662427,0.29671345016595496,36
J,J1,Jordan,False,,17,jordan,0.0867,0.1911,0.1739,0.4517,0.109,0.0354,0.0077,0.0024,0.0053,0.0005,0.0019,0.0012,0.0041,0.5483,0.0077,0.0867,0.1911,0.2918,0.4304,0.2778,0.0005,Jordan,2026.0,2026-12-31,50.0,1690.0,111.0,1322.0,582.0,206.0,218.0,158.0,727.0,710.0,AFC,0.0,2.0,75.0,75.0,75.0,49.0,56.5,55.5,73.0,,,,,,,,0.3581081081081081,0.4787234042553191,0.5058947738870315,,0.0,0.0017188037126160192,0.27521491970984335,37
