match_id,stage,group,match_date,stadium,city,host_country,team_a,team_b,p_team_a_win,p_draw,p_team_b_win,most_likely_result,sim_goals_team_a,sim_goals_team_b,sim_result,sim_winner
26,Group stage,B,2026-06-18,SoFi Stadium,Los Angeles,USA,Switzerland,Bosnia and Herzegovina,0.5613809106900696,0.3204521597527275,0.118166929557203,team_a_win,3,2,team_a_win,Switzerland
27,Group stage,B,2026-06-18,BC Place,Vancouver,Canada,Canada,Qatar,0.5376471588116264,0.3406361889837216,0.1217166522046519,team_a_win,3,2,team_a_win,Canada
28,Group stage,A,2026-06-19,Estadio Akron,Guadalajara,Mexico,Mexico,South Korea,0.3746503328543639,0.3917684942317965,0.2335811729138394,draw,1,0,team_a_win,Mexico
29,Group stage,D,2026-06-19,Levi's Stadium,Santa Clara,USA,Turkey,Paraguay,0.3022701032196616,0.3904335875270162,0.3072963092533221,draw,0,1,team_b_win,Paraguay
30,Group stage,D,2026-06-19,Lumen Field,Seattle,USA,USA,Australia,0.2592591650655196,0.4009059361232533,0.3398348988112271,draw,2,2,draw,Draw
31,Group stage,C,2026-06-19,Gillette Stadium,Boston,USA,Scotland,Morocco,0.2468038503807021,0.2768071022596856,0.4763890473596123,team_b_win,1,2,team_b_win,Morocco
32,Group stage,C,2026-06-20,Lincoln Financial Field,Philadelphia,USA,Brazil,Haiti,0.6944153425141476,0.2259573786548195,0.0796272788310328,team_a_win,2,2,draw,Draw
33,Group stage,F,2026-06-20,Estadio BBVA,Monterrey,Mexico,Tunisia,Japan,0.294632009145042,0.27402326469366,0.4313447261612979,team_b_win,1,1,draw,Draw
34,Group stage,F,2026-06-20,NRG Stadium,Houston,USA,Netherlands,Sweden,0.4641452290757101,0.3879373673904229,0.147917403533867,team_a_win,4,5,team_b_win,Sweden
35,Group stage,E,2026-06-20,BMO Field,Toronto,Canada,Germany,Côte d'Ivoire,0.4478157517476193,0.3777027754534796,0.174481472798901,team_a_win,2,1,team_a_win,Germany
36,Group stage,E,2026-06-21,GEHA Field at Arrowhead Stadium,Kansas City,USA,Ecuador,Curaçao,0.5658574853964017,0.3176785134471265,0.1164640011564718,team_a_win,2,1,team_a_win,Ecuador
37,Group stage,H,2026-06-21,Mercedes-Benz Stadium,Atlanta,USA,Spain,Saudi Arabia,0.5974063882693454,0.3205899965696228,0.0820036151610317,team_a_win,2,2,draw,Draw
38,Group stage,G,2026-06-21,SoFi Stadium,Los Angeles,USA,Belgium,Iran,0.3325186665335523,0.4027833651268691,0.2646979683395786,draw,2,2,draw,Draw
39,Group stage,H,2026-06-21,Hard Rock Stadium,Miami,USA,Uruguay,Cabo Verde,0.5591608728963263,0.3273639933038071,0.1134751337998666,team_a_win,2,2,draw,Draw
40,Group stage,G,2026-06-22,BC Place,Vancouver,Canada,New Zealand,Egypt,0.2353541975261752,0.2907525509471064,0.4738932515267183,team_b_win,2,3,team_b_win,Egypt
41,Group stage,J,2026-06-22,AT&T Stadium,Dallas,USA,Argentina,Austria,0.5350298683433967,0.3240864169167876,0.1408837147398156,team_a_win,1,1,draw,Draw
42,Group stage,I,2026-06-22,Lincoln Financial Field,Philadelphia,USA,France,Iraq,0.6041143144787988,0.3014912001709038,0.0943944853502972,team_a_win,4,1,team_a_win,France
43,Group stage,I,2026-06-23,MetLife Stadium,East Rutherford,USA,Norway,Senegal,0.308395717682886,0.3768742970506142,0.3147299852664998,draw,3,2,team_a_win,Norway
44,Group stage,J,2026-06-23,Levi's Stadium,Santa Clara,USA,Jordan,Algeria,0.2469584459701584,0.3131431350127437,0.4398984190170977,team_b_win,1,1,draw,Draw
45,Group stage,K,2026-06-23,NRG Stadium,Houston,USA,Portugal,Uzbekistan,0.50778513573936,0.3497145371342662,0.1425003271263737,team_a_win,2,1,team_a_win,Portugal
46,Group stage,L,2026-06-23,Gillette Stadium,Boston,USA,England,Ghana,0.5761456068000683,0.3339459206945327,0.0899084725053989,team_a_win,2,1,team_a_win,England
47,Group stage,L,2026-06-23,BMO Field,Toronto,Canada,Panama,Croatia,0.1717411570523014,0.317539329686953,0.5107195132607456,team_b_win,1,0,team_a_win,Panama
48,Group stage,K,2026-06-24,Estadio Akron,Guadalajara,Mexico,Colombia,DR Congo,0.5575083065965853,0.3157308383134923,0.1267608550899222,team_a_win,2,1,team_a_win,Colombia
49,Group stage,B,2026-06-24,BC Place,Vancouver,Canada,Switzerland,Canada,0.407775232150938,0.3699836036359916,0.2222411642130703,team_a_win,1,1,draw,Draw
50,Group stage,B,2026-06-24,Lumen Field,Seattle,USA,Bosnia and Herzegovina,Qatar,0.2728674463048269,0.3959804446410011,0.3311521090541721,draw,0,0,draw,Draw
51,Group stage,C,2026-06-24,Hard Rock Stadium,Miami,USA,Scotland,Brazil,0.1357515358566298,0.274303591223067,0.5899448729203032,team_b_win,2,2,draw,Draw
52,Group stage,C,2026-06-24,Mercedes-Benz Stadium,Atlanta,USA,Morocco,Haiti,0.5330242455247224,0.3108224649728314,0.1561532895024461,team_a_win,2,1,team_a_win,Morocco
53,Group stage,A,2026-06-25,Estadio Azteca,Mexico City,Mexico,Czech Republic,Mexico,0.2117884433386793,0.3571082285525623,0.4311033281087584,team_b_win,2,2,draw,Draw
54,Group stage,A,2026-06-25,Estadio BBVA,Monterrey,Mexico,South Africa,South Korea,0.2377721742270128,0.3315544730211443,0.4306733527518429,team_b_win,2,3,team_b_win,South Korea
55,Group stage,E,2026-06-25,Lincoln Financial Field,Philadelphia,USA,Curaçao,Côte d'Ivoire,0.2495315714482603,0.2722171964176418,0.4782512321340977,team_b_win,1,2,team_b_win,Côte d'Ivoire
56,Group stage,E,2026-06-25,MetLife Stadium,East Rutherford,USA,Ecuador,Germany,0.3403572764672282,0.3433151782595665,0.3163275452732053,draw,2,2,draw,Draw
57,Group stage,F,2026-06-25,AT&T Stadium,Dallas,USA,Japan,Sweden,0.4140868318766892,0.384368611079086,0.2015445570442247,team_a_win,2,0,team_a_win,Japan
58,Group stage,F,2026-06-25,GEHA Field at Arrowhead Stadium,Kansas City,USA,Tunisia,Netherlands,0.1813103509189413,0.2383800191932652,0.5803096298877934,team_b_win,2,3,team_b_win,Netherlands
59,Group stage,D,2026-06-26,SoFi Stadium,Los Angeles,USA,USA,Turkey,0.3021114213689185,0.3336110022234531,0.3642775764076284,team_b_win,2,1,team_a_win,USA
60,Group stage,D,2026-06-26,Levi's Stadium,Santa Clara,USA,Paraguay,Australia,0.2537361321964283,0.3886499092693584,0.3576139585342132,draw,0,0,draw,Draw
61,Group stage,I,2026-06-26,Gillette Stadium,Boston,USA,Norway,France,0.1967240201688907,0.2295312637691766,0.5737447160619327,team_b_win,0,1,team_b_win,France
62,Group stage,I,2026-06-26,BMO Field,Toronto,Canada,Senegal,Iraq,0.5078010273826148,0.3177068400379634,0.1744921325794217,team_a_win,1,1,draw,Draw
63,Group stage,H,2026-06-27,NRG Stadium,Houston,USA,Cabo Verde,Saudi Arabia,0.2087965052233647,0.3580588101230252,0.4331446846536099,team_b_win,2,2,draw,Draw
64,Group stage,H,2026-06-27,Estadio Akron,Guadalajara,Mexico,Uruguay,Spain,0.1424577496576866,0.256000385845732,0.6015418644965813,team_b_win,1,2,team_b_win,Spain
65,Group stage,G,2026-06-27,Lumen Field,Seattle,USA,Egypt,Iran,0.2073896042044677,0.3871610367457279,0.4054493590498044,team_b_win,2,3,team_b_win,Iran
66,Group stage,G,2026-06-27,BC Place,Vancouver,Canada,New Zealand,Belgium,0.1659766061968889,0.2125275888910786,0.6214958049120325,team_b_win,2,3,team_b_win,Belgium
67,Group stage,L,2026-06-27,MetLife Stadium,East Rutherford,USA,Panama,England,0.1007238167643743,0.2221968103176349,0.6770793729179908,team_b_win,1,1,draw,Draw
68,Group stage,L,2026-06-27,Lincoln Financial Field,Philadelphia,USA,Croatia,Ghana,0.5157948760760888,0.3834961355685616,0.1007089883553495,team_a_win,3,1,team_a_win,Croatia
69,Group stage,K,2026-06-27,Hard Rock Stadium,Miami,USA,Colombia,Portugal,0.2425465108664592,0.3870577377998558,0.3703957513336849,draw,2,2,draw,Draw
70,Group stage,K,2026-06-27,Mercedes-Benz Stadium,Atlanta,USA,DR Congo,Uzbekistan,0.2050635953869894,0.374946465117406,0.4199899394956046,team_b_win,0,0,draw,Draw
71,Group stage,J,2026-06-28,GEHA Field at Arrowhead Stadium,Kansas City,USA,Algeria,Austria,0.2815739160492996,0.3464223914037646,0.3720036925469357,team_b_win,2,1,team_a_win,Algeria
72,Group stage,J,2026-06-28,AT&T Stadium,Dallas,USA,Jordan,Argentina,0.131445869077868,0.1756707606874211,0.6928833702347108,team_b_win,1,2,team_b_win,Argentina
