Name,Age,Nationality,Club,League,Position,PlayStyle,Overall,Potential,Value_EUR,Wage_EUR,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,SprintSpeed,Finishing,ShotPower,LongShots,Volleys,Penalties,Vision,Crossing,ShortPassing,LongPassing,FKAccuracy,Curve,Agility,Balance,Reactions,BallControl,Composure,Interceptions,HeadingAccuracy,DefAwareness,StandingTackle,SlidingTackle,Jumping,Stamina,Strength,Aggression,WeakFoot,SkillMoves,Height_cm,Weight_kg,PreferredFoot,Form,IntCaps,IntGoals,Appearances,Goals,Assists
Maciej Ounahi,26,Scotland,Bayer Leverkusen,Bundesliga,RM,Wide Midfielder,87,89,42042334,77141,89,78,84,87,57,75,94,90,78,83,71,81,72,89,80,86,85,82,80,81,89,91,84,88,63,79,52,63,59,81,68,79,77,5,1,175,92,Right,6,55,14,24,2,15
Gabriel Roberts,20,DR Congo,Heidenheim,Bundesliga,LW,Explosive Winger,61,67,441193,1000,78,77,74,81,26,60,76,76,83,82,70,85,73,82,76,74,76,82,79,77,76,75,85,78,33,67,25,21,25,60,64,60,57,4,4,174,76,Right,8,4,15,23,9,4
Mohamed Chiellini,22,Philippines,Feyenoord,Eredivisie,LW,Winger,78,81,7928885,18656,90,82,78,86,36,67,84,86,78,78,88,72,85,81,83,84,74,85,78,80,87,86,90,93,44,71,41,41,45,61,62,65,60,5,3,175,77,Right,6,90,34,19,10,11
Felipe Taylor,27,Bosnia,Wolfsburg,Bundesliga,LM,Wide Midfielder,77,78,12496505,23314,81,73,79,78,47,66,78,76,74,75,81,65,81,76,88,82,75,72,87,82,80,81,71,70,41,58,50,47,44,71,68,69,57,2,3,179,78,Left,5,21,7,33,1,20
Xavi Doan,33,Finland,Metz,Ligue 1,LM,Inside Forward,69,69,1488921,1946,81,70,74,75,47,63,82,82,65,68,68,74,65,74,79,71,70,65,66,72,79,78,74,74,44,64,54,49,44,60,63,64,68,2,1,183,69,Right,4,43,10,20,5,4
Alexis González,28,Ireland,Toronto FC,MLS,LM,Inside Forward,60,60,435212,1000,78,66,71,76,42,60,83,77,69,59,69,57,64,74,79,69,65,71,82,76,76,79,79,71,38,54,41,45,43,63,65,55,57,3,3,181,76,Right,10,112,15,0,6,8
Ilkay Thomas,22,Greece,Wolfsburg,Bundesliga,LW,Explosive Winger,67,69,772542,1118,81,78,79,85,36,61,83,78,85,84,69,79,80,74,83,82,80,90,95,78,92,83,88,84,29,70,36,33,43,65,56,67,59,3,2,187,77,Left,6,20,39,19,8,17
Mats Militão,36,Angola,Lille,Ligue 1,GK,Sweeper Keeper,69,67,1119868,1668,47,13,51,42,12,74,45,48,20,20,20,22,20,49,49,49,52,46,41,47,43,47,38,49,20,80,20,20,20,69,76,77,82,3,2,182,78,Right,1,90,6,30,5,14
Maciej Blind,35,Finland,Al Ittihad,Saudi Pro League,CAM,Shadow Striker,71,69,2332263,3621,76,77,80,83,38,70,79,83,85,73,75,68,72,85,81,85,87,71,77,76,80,83,86,90,45,67,43,39,39,71,73,63,63,2,5,189,72,Left,4,105,59,17,9,7
Christian Bravo,17,Norway,Augsburg,Bundesliga,RW,Explosive Winger,67,74,1187478,2240,85,77,78,80,26,63,85,92,73,83,84,81,77,76,72,77,75,89,84,83,80,85,75,72,28,63,28,24,22,67,69,62,70,2,4,181,72,Left,5,112,19,6,5,20
Thiago Herrera,29,Scotland,AC Milan,Serie A,CM,Playmaker,81,82,29679084,35416,71,73,85,84,70,70,70,74,81,80,73,66,74,88,83,82,81,88,78,84,87,84,88,91,68,68,73,64,77,76,71,74,72,3,2,170,86,Right,5,74,0,23,0,14
Kingsley Guardado,27,Morocco,Lecce,Serie A,CB,Bruiser,61,65,517604,1000,58,39,61,56,75,82,51,59,45,42,39,29,43,61,52,66,59,67,48,49,61,55,60,50,68,75,82,82,67,83,81,77,77,2,3,193,74,Right,4,91,2,28,7,13
Youssef Varane,30,Indonesia,Nice,Ligue 1,CF,Complete Forward,79,78,20029316,27030,85,90,74,87,43,72,90,78,91,90,98,93,94,73,72,75,77,66,85,83,82,81,92,92,35,70,39,37,37,65,72,74,64,5,3,172,59,Right,3,83,7,34,4,7
Antony Jović,24,Turkey,Osasuna,La Liga,RB,Wing Back,80,85,17784536,43696,83,63,77,79,76,71,84,85,60,66,67,70,70,70,79,81,81,81,79,83,84,79,74,80,80,67,81,83,74,70,68,77,66,5,2,180,79,Right,10,98,10,9,8,9
Youssef Moreno,25,Ecuador,Wolves,Premier League,CF,False 9,79,87,14772284,30333,77,86,73,87,41,74,78,73,93,82,87,85,78,71,70,78,68,84,92,94,86,92,89,85,45,72,42,43,41,78,74,75,76,3,3,177,67,Right,9,92,3,38,27,18
Ritsu Kubo,25,Argentina,RB Leipzig,Bundesliga,CDM,Anchor,87,96,45747928,55117,76,65,85,78,84,85,75,78,64,65,73,75,67,85,91,90,92,87,73,82,81,74,73,85,81,93,87,77,91,78,91,91,78,3,2,173,71,Left,4,94,8,37,6,6
Ander Aribo,20,Netherlands,Real Madrid,La Liga,RW,Explosive Winger,91,98,200788864,342643,96,89,85,93,43,75,93,89,97,95,93,84,84,80,92,81,84,79,99,94,93,92,90,97,37,77,42,49,52,74,79,71,75,2,2,185,82,Right,10,116,,34,,8
Declan Weber,23,Albania,Salernitana,Serie A,RW,Winger,61,64,353503,1000,78,74,72,80,29,65,81,85,74,81,82,82,67,69,73,66,70,78,74,85,84,75,77,77,28,74,35,33,37,67,64,70,60,2,1,179,80,Right,6,72,6,2,9,1
Matthijs Modric,27,Venezuela,Salernitana,Serie A,CF,Advanced Forward,76,78,4771528,5986,91,88,75,81,32,76,85,96,89,93,86,80,82,75,70,75,71,86,83,79,84,76,75,73,33,81,30,32,26,72,70,71,80,2,3,175,64,Right,1,81,28,22,12,18
Sadio Costa,22,Czech Republic,Wolfsburg,Bundesliga,LM,Inside Forward,79,82,8363176,11746,80,80,82,83,57,70,75,74,77,79,79,83,81,89,75,81,82,77,93,83,81,84,77,79,58,61,56,59,60,72,70,68,74,4,4,174,88,Right,7,99,7,10,2,9
Koji Ndoye,28,Uganda,Cagliari,Serie A,RW,Winger,69,71,2074224,3737,79,77,73,80,33,70,84,80,69,81,82,73,83,74,66,79,78,82,85,75,81,77,77,76,38,73,27,39,39,74,71,71,74,2,3,171,80,Right,10,100,24,25,9,17
Wojciech Lloris,22,Rwanda,PSG,Ligue 1,RM,Inside Forward,80,83,21163203,29681,82,74,77,84,50,71,80,81,80,79,83,80,70,80,68,78,72,74,87,91,78,79,90,80,53,71,48,56,47,79,71,69,77,4,3,180,74,Right,6,101,0,14,8,18
Wojciech Smith,21,Vietnam,Lille,Ligue 1,CB,Ball Playing Defender,80,87,10817917,27387,68,50,74,60,86,88,71,71,55,49,41,59,48,80,83,74,78,62,56,56,60,66,64,54,81,96,81,89,87,86,88,82,87,2,4,169,80,Left,4,66,5,27,3,20
Alejandro Müller,22,Slovakia,Clermont,Ligue 1,RW,Explosive Winger,72,80,3731247,5285,85,77,72,81,31,66,87,80,81,76,73,82,74,69,78,70,68,65,81,87,87,84,74,84,23,72,26,29,34,74,69,66,70,3,2,174,81,Right,10,10,20,19,5,16
Kylian Godín,17,Ireland,Lille,Ligue 1,RW,Inside Forward,80,92,12293234,32265,88,80,79,88,33,69,86,89,73,85,85,87,78,84,73,84,78,76,79,88,88,87,94,82,39,63,38,32,30,72,75,73,73,3,1,188,71,Left,8,72,49,32,1,17
Valentín Ndoye,30,Czech Republic,Club Brugge,Pro League,LB,Wing Back,72,70,4381368,6179,73,53,77,63,73,73,68,69,49,57,54,50,57,84,72,80,77,85,66,62,69,58,66,57,77,80,77,73,75,79,73,71,82,4,2,179,78,Right,5,109,3,26,4,4
Julian Dumfries,22,Greece,Salernitana,Serie A,GK,Sweeper Keeper,74,81,6734554,7507,54,17,61,50,15,78,61,60,20,20,22,20,22,59,56,65,62,54,48,44,53,48,44,53,20,70,20,20,20,83,81,72,72,5,4,177,72,Right,6,70,15,3,10,
Lorenzo Lewandowski,27,Egypt,Newcastle,Premier League,GK,Sweeper Keeper,76,80,5914094,7346,53,20,65,54,14,85,56,48,20,21,29,20,20,71,67,70,63,73,48,61,59,57,57,60,20,78,21,20,20,80,87,89,88,4,4,178,59,Right,2,29,3,23,2,4
Álvaro Carvajal,20,Germany,Clermont,Ligue 1,CM,Mezzala,64,72,567025,1300,63,63,76,79,58,64,66,65,57,64,54,64,65,72,79,79,81,75,86,82,76,85,79,73,50,73,52,50,57,62,57,71,56,4,4,186,58,Right,5,26,6,18,3,3
Jordi Weber,27,Hungary,Villarreal,La Liga,CF,False 9,88,91,79604153,104604,90,86,85,90,44,84,84,87,91,90,84,77,85,79,89,80,91,92,99,83,91,94,94,87,39,75,48,40,35,81,84,82,91,3,3,196,77,Right,9,117,51,20,20,20
Son Bonucci,27,Iran,St. Pauli,Bundesliga,RM,Inside Forward,65,67,582449,1000,75,66,75,74,45,61,72,80,61,73,75,59,65,83,66,69,67,70,65,74,77,74,81,70,42,53,46,50,43,63,57,60,62,2,4,184,78,Right,9,8,2,32,7,5
Bamba Torres,31,India,Al Nassr,Saudi Pro League,CDM,Box to Box,63,64,659238,1635,60,52,70,66,75,75,62,60,50,56,60,49,48,62,74,64,69,75,67,69,58,65,59,70,76,69,71,83,73,80,75,68,70,4,5,174,82,Right,5,41,,12,4,7
Shkodran Wilson,32,Uganda,Tottenham,Premier League,ST,Poacher,79,80,13031527,17826,84,92,68,78,29,86,88,82,94,92,91,89,86,66,63,74,63,60,71,73,84,79,76,83,24,94,27,27,34,87,86,83,80,4,3,185,75,Right,2,75,27,8,8,12
Cheikhou Paredes,27,Portugal,Monaco,Ligue 1,CB,Bruiser,81,85,12729690,18583,67,58,73,65,88,88,61,72,54,52,49,49,57,69,70,73,76,82,75,68,59,68,67,65,82,79,82,86,93,84,82,95,89,4,5,182,69,Right,5,33,5,25,8,7
Exequiel Hernández,28,Sweden,Arsenal,Premier League,CB,Aerial Threat,79,80,19199854,24211,76,51,77,62,82,85,75,83,58,44,44,49,55,73,81,74,85,72,72,67,54,62,67,65,89,93,87,89,84,93,83,84,84,3,1,181,84,Left,4,116,8,9,9,20
Patrick Lazović,17,Ivory Coast,Juventus,Serie A,LB,Attacking Full Back,85,90,62609053,98287,89,59,78,73,77,81,95,95,56,54,57,67,61,81,87,72,81,84,81,68,71,79,80,80,78,77,77,70,70,74,77,83,79,5,3,181,65,Right,2,31,8,3,3,12
Yuki Sánchez,19,Spain,Leicester City,Premier League,GK,Shot Stopper,76,90,5750311,11905,54,23,57,46,14,80,52,51,25,20,20,26,30,59,53,62,60,52,54,52,43,46,43,47,20,76,20,20,23,84,86,85,89,2,4,165,75,Right,10,90,3,23,5,12
Koji Richard,24,Uganda,Porto,Primeira Liga,GK,Shot Stopper,79,82,19351397,39172,60,25,64,51,14,91,64,59,22,32,29,30,29,67,72,64,59,67,59,54,50,47,51,45,20,91,20,20,20,86,85,89,87,2,3,181,76,Right,6,,6,4,1,1
Stefan Lozano,25,Mexico,Newcastle,Premier League,CAM,Shadow Striker,74,81,5597564,6632,75,80,82,82,44,64,69,68,84,82,88,85,76,75,84,76,87,72,81,88,89,79,76,74,42,60,47,45,37,71,70,58,64,3,4,176,76,Right,2,42,12,35,8,9
Marcos López,24,Australia,Feyenoord,Eredivisie,CF,Advanced Forward,80,83,19289740,25857,88,80,81,89,32,77,87,93,79,81,72,82,88,86,89,85,88,87,86,89,90,84,88,82,40,86,39,40,41,73,71,82,82,5,3,178,64,Right,8,33,17,9,21,11
Granit Kane,22,South Korea,Cadiz,La Liga,LB,Wing Back,66,71,710738,1000,70,54,72,70,75,66,76,63,62,59,58,47,59,68,67,75,67,63,78,75,65,76,67,73,80,65,74,82,84,73,59,61,65,4,2,177,79,Right,5,40,2,35,5,16
Ansu Aribo,19,Spain,Juventus,Serie A,CAM,Classic 10,90,95,115729213,167966,85,87,89,92,56,73,83,82,92,89,80,83,93,87,93,94,96,99,98,98,95,86,93,89,50,73,60,64,59,69,78,79,80,2,3,189,67,Right,5,39,31,6,3,14
Samuel Vargas,29,Bulgaria,Liverpool,Premier League,LW,Winger,84,84,30057104,36789,92,84,84,87,42,71,98,99,84,88,77,83,76,88,76,80,82,79,97,83,85,85,90,92,50,62,48,34,48,67,74,66,62,3,2,177,84,Right,2,87,23,28,7,11
Kingsley Kramarić,22,Venezuela,Villarreal,La Liga,RB,Wing Back,80,88,23028429,32572,76,50,79,69,85,70,73,79,52,56,49,48,51,77,74,81,78,68,78,68,71,73,64,61,92,70,82,90,88,74,74,63,79,3,3,192,77,Right,2,0,11,38,4,15
Silvan Petit,25,Indonesia,Las Palmas,La Liga,ST,Pressing Forward,70,75,2699264,3224,75,85,65,80,30,77,71,73,84,89,85,88,87,68,64,68,66,67,73,80,73,84,82,74,37,74,31,25,33,85,74,76,69,4,3,178,75,Left,3,37,8,35,5,10
Youssef Aranguiz,27,Romania,Liverpool,Premier League,LB,Wing Back,88,91,120756675,147624,80,56,84,78,83,80,85,85,50,51,60,66,61,88,88,85,88,72,69,79,76,83,76,70,85,87,79,75,74,79,76,84,82,5,2,183,71,Right,3,40,0,13,2,5
Memphis Acuña,22,Ukraine,Chelsea,Premier League,CDM,Box to Box,87,91,43755995,110494,74,65,85,74,89,87,69,70,57,67,72,60,60,88,77,85,85,97,81,76,67,77,67,69,81,79,93,84,93,93,86,81,95,3,4,182,83,Right,3,43,15,12,,7
Jamal Ito,34,Senegal,Crystal Palace,Premier League,CDM,Anchor,72,70,2880371,6358,69,52,72,70,79,79,68,66,49,45,60,57,50,79,73,69,64,60,62,77,65,73,73,77,75,72,84,87,72,74,86,76,77,3,3,175,77,Right,10,15,3,38,4,6
Nahuel Mbaye,22,Iran,Metz,Ligue 1,LM,Winger,68,77,958518,1815,76,66,71,74,43,67,73,83,60,64,67,61,61,75,74,72,71,71,79,79,79,78,81,71,38,62,47,36,39,62,66,74,76,5,3,174,97,Left,2,12,,8,2,14
Éder Evans,28,Finland,Seattle Sounders,MLS,LM,Inside Forward,65,69,768003,1071,77,66,74,74,45,70,73,80,68,67,73,75,61,79,72,75,77,83,84,73,70,76,81,67,37,66,46,52,51,67,64,75,76,5,4,180,85,Right,2,113,1,,10,18
Mathias Tadić,22,UAE,Athletic Bilbao,La Liga,CM,Box to Box,73,83,3233057,4386,69,75,78,84,65,68,63,74,76,82,82,82,73,84,79,77,71,73,88,82,91,89,87,87,71,62,59,64,56,70,66,74,68,3,3,185,83,Right,8,57,15,1,6,
Jonas Blind,29,Angola,Lille,Ligue 1,RM,Wide Midfielder,69,69,2553899,2990,74,68,73,78,49,65,80,77,63,73,73,72,76,69,79,67,81,84,69,79,83,81,78,86,46,74,44,45,43,69,68,67,66,4,4,171,79,Right,4,15,12,12,1,1
Francesco Brozović,29,Montenegro,Inter Miami,MLS,RM,Inside Forward,67,69,1165564,1662,79,72,76,78,45,60,74,80,74,76,66,73,79,81,84,74,81,64,84,72,70,78,73,71,38,57,42,42,45,60,55,66,52,3,2,184,77,Left,9,110,6,18,10,20
Kylian Robertson,27,Rwanda,Mallorca,La Liga,ST,Pressing Forward,61,63,488299,1075,72,80,64,72,27,72,77,75,82,81,72,70,80,62,69,61,67,76,80,73,70,78,76,70,28,77,22,21,23,69,76,73,66,4,3,181,83,Right,7,30,50,18,1,12
Ivan Bernard,23,Greece,Bayern Munich,Bundesliga,CAM,Enganche,86,90,40505425,66293,81,84,88,88,53,71,79,82,83,79,91,76,92,85,92,90,92,78,89,84,86,92,86,90,56,71,49,61,59,63,65,74,73,3,5,189,68,Right,1,99,39,19,9,2
Rafa Bentancur,25,Ireland,Marseille,Ligue 1,LM,Wide Midfielder,79,81,16284143,24017,82,80,80,86,47,70,77,87,72,83,73,76,78,85,74,77,85,88,78,90,82,80,86,88,40,63,41,40,43,70,71,64,79,4,2,187,76,Right,9,105,14,18,3,2
Marco Bellingham,31,Mozambique,Inter Miami,MLS,RB,Attacking Full Back,72,72,3859859,4867,75,57,80,68,74,76,82,75,61,56,48,62,54,79,75,85,84,85,67,71,64,66,71,71,66,84,80,70,68,69,69,78,79,3,2,192,71,Right,10,5,2,32,10,2
Leroy Robert,23,Norway,Brighton,Premier League,RM,Wide Midfielder,75,80,7673480,10930,80,69,74,78,48,67,83,74,69,63,66,77,76,76,76,70,73,65,77,80,72,75,76,85,54,68,50,49,57,63,69,69,69,5,4,182,88,Right,10,106,3,36,8,17
Amine Wilson,21,Vietnam,Ajax,Eredivisie,CF,Complete Forward,77,79,7927541,13763,85,85,76,86,34,77,82,91,81,92,93,81,85,70,69,70,84,84,76,92,90,92,88,84,27,85,31,41,29,80,76,73,86,4,2,182,79,Right,6,112,28,19,3,19
Victor Sosa,27,Philippines,Cagliari,Serie A,ST,Target Man,74,78,5226293,6913,88,84,66,77,30,77,81,84,91,80,77,82,87,65,58,70,64,70,78,76,84,78,84,70,23,78,24,38,29,77,79,78,86,2,2,189,87,Right,9,17,11,36,30,15
Xherdan Saiss,23,Iceland,Sporting CP,Primeira Liga,LB,Defensive Full Back,83,86,31785136,43245,80,61,77,77,82,73,78,82,56,64,59,64,63,72,83,81,84,80,73,79,74,81,83,82,74,71,75,78,91,70,68,76,80,3,3,191,90,Left,10,0,4,14,10,4
Kamil Ferreira,22,Indonesia,Almeria,La Liga,GK,Sweeper Keeper,61,65,305020,1000,45,13,49,44,14,72,40,47,21,20,20,20,20,43,47,49,53,41,37,37,42,46,50,52,20,67,20,20,20,79,79,74,64,3,5,175,64,Right,2,27,15,10,6,18
