match_id,stage,slot_home,slot_away,team_home,team_away,host_country,stadium,city,p_home_win,p_away_win,p_penalty_home,p_penalty_away,p_draw_after_extra_time,knockout_resolution,won_by_penalties,most_likely_winner,simulated_winner,simulated_loser,bracket_source
85,Round of 32,Switzerland,Algeria,Switzerland,Algeria,Canada,,Vancouver,0.5856104846232691,0.41438951537673085,0.6482520295682612,0.3517479704317388,0.23465607546382114,penalties,True,Switzerland,Algeria,Switzerland,openfootball_real_bracket_2026-06-28
86,Round of 32,Argentina,Cabo Verde,Argentina,Cabo Verde,,,Miami (Miami Gardens),0.9320193359447642,0.06798066405523584,0.8914247399583175,0.1085752600416825,0.1845376214641333,penalties,True,Argentina,Argentina,Cabo Verde,openfootball_real_bracket_2026-06-28
87,Round of 32,Colombia,Ghana,Colombia,Ghana,United States,,Kansas City,0.8610219881608598,0.13897801183914016,0.8457456800481433,0.15425431995185668,0.2028663617317642,regular_time_or_extra_time,False,Colombia,Colombia,Ghana,openfootball_real_bracket_2026-06-28
88,Round of 32,Australia,Egypt,Australia,Egypt,United States,,Dallas (Arlington),0.4678369049550679,0.5321630950449321,0.45706032575738487,0.5429396742426151,0.23769321624027007,regular_time_or_extra_time,False,Egypt,Australia,Egypt,openfootball_real_bracket_2026-06-28
89,Round of 16,W74,W77,Germany,France,United States,,Philadelphia,0.3635874839738903,0.6364125160261097,0.41388659778057185,0.5861134022194281,0.22751130618556373,regular_time_or_extra_time,False,France,Germany,France,openfootball_real_bracket_2026-06-28
90,Round of 16,W73,W75,Canada,Morocco,United States,,Houston,0.32929598395668924,0.6707040160433108,0.41050606533237327,0.5894939346676267,0.22361341015022904,regular_time_or_extra_time,False,Morocco,Canada,Morocco,openfootball_real_bracket_2026-06-28
91,Round of 16,W76,W78,Japan,Côte d'Ivoire,,,New York/New Jersey (East Rutherford),0.6345511161288819,0.36544888387111807,0.5923845177823374,0.40761548221766264,0.22788277055355818,penalties,True,Japan,Japan,Côte d'Ivoire,openfootball_real_bracket_2026-06-28
92,Round of 16,W79,W80,Mexico,England,Mexico,,Mexico City,0.2850537725597569,0.7149462274402432,0.2433824376939425,0.7566175623060575,0.222767259681116,regular_time_or_extra_time,False,England,England,Mexico,openfootball_real_bracket_2026-06-28
93,Round of 16,W83,W84,Portugal,Spain,United States,,Dallas (Arlington),0.3273738910808569,0.6726261089191431,0.34525626505134605,0.654743734948654,0.22512443784020678,regular_time_or_extra_time,False,Spain,Spain,Portugal,openfootball_real_bracket_2026-06-28
94,Round of 16,W81,W82,United States,Belgium,United States,,Seattle,0.3278601703609415,0.6721398296390585,0.2665643969691272,0.7334356030308729,0.2272566123889349,penalties,True,Belgium,Belgium,United States,openfootball_real_bracket_2026-06-28
95,Round of 16,W86,W88,Argentina,Australia,United States,,Atlanta,0.8656725298716331,0.13432747012836688,0.8405120901880032,0.1594879098119968,0.2016200752420557,penalties,True,Argentina,Australia,Argentina,openfootball_real_bracket_2026-06-28
96,Round of 16,W85,W87,Algeria,Colombia,Canada,,Vancouver,0.36051161831787326,0.6394883816821267,0.3503942965883776,0.6496057034116224,0.22879703687902436,regular_time_or_extra_time,False,Colombia,Algeria,Colombia,openfootball_real_bracket_2026-06-28
97,Quarter-final,W89,W90,Germany,Canada,United States,,Boston (Foxborough),0.7820427862183984,0.2179572137816016,0.7780953916521594,0.22190460834784065,0.21432121528604658,regular_time_or_extra_time,False,Germany,Germany,Canada,openfootball_real_bracket_2026-06-28
98,Quarter-final,W93,W94,Spain,Belgium,United States,,Los Angeles (Inglewood),0.7207929824824288,0.27920701751757115,0.6384381867829392,0.3615618132170608,0.2186792342657547,regular_time_or_extra_time,False,Spain,Spain,Belgium,openfootball_real_bracket_2026-06-28
99,Quarter-final,W91,W92,Japan,England,,,Miami (Miami Gardens),0.3573547344355229,0.6426452655644771,0.3173076886427712,0.6826923113572287,0.22929292889416952,penalties,True,England,Japan,England,openfootball_real_bracket_2026-06-28
100,Quarter-final,W95,W96,Australia,Algeria,United States,,Kansas City,0.3951306661491124,0.6048693338508876,0.4359442247570333,0.5640557752429667,0.2304555517079261,penalties,True,Algeria,Algeria,Australia,openfootball_real_bracket_2026-06-28
101,Semi-final,W97,W98,Germany,Spain,United States,,Dallas (Arlington),0.3343829880070111,0.665617011992989,0.3699953411756931,0.6300046588243069,0.2252934297619582,regular_time_or_extra_time,False,Spain,Spain,Germany,openfootball_real_bracket_2026-06-28
102,Semi-final,W99,W100,Japan,Algeria,United States,,Atlanta,0.5964044225892948,0.4035955774107052,0.5509710599183453,0.4490289400816547,0.23104905398724784,regular_time_or_extra_time,False,Japan,Japan,Algeria,openfootball_real_bracket_2026-06-28
103,Match for third place,L101,L102,Germany,Algeria,,,Miami (Miami Gardens),0.7097174830073951,0.2902825169926049,0.7267873319102378,0.2732126680897622,0.22259190155286016,regular_time_or_extra_time,False,Germany,Germany,Algeria,openfootball_real_bracket_2026-06-28
104,Final,W101,W102,Spain,Japan,,,New York/New Jersey (East Rutherford),0.7666069534724462,0.23339304652755377,0.7868472789617565,0.21315272103824345,0.21683627732757055,regular_time_or_extra_time,False,Spain,Spain,Japan,openfootball_real_bracket_2026-06-28
