match_id,group,team_a,team_b,host_country,venue,stadium,city,neutral_for_model,goals_a,goals_b,outcome,p_team_a_win,p_draw,p_team_b_win
50,B,Bosnia and Herzegovina,Qatar,United States,"Lumen Field, Seattle",Lumen Field,Seattle,True,2,2,draw,0.5330676268453358,0.2365148510655362,0.23041752208912797
51,C,Scotland,Brazil,United States,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,True,0,2,team_b_win,0.13365321375855516,0.21568315908069322,0.6506636271607517
52,C,Morocco,Haiti,United States,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,True,2,0,team_a_win,0.7558044631902745,0.18748497676142525,0.056710560048300225
53,A,Czech Republic,Mexico,Mexico,"Estadio Azteca, Mexico City",Estadio Azteca,Mexico City,False,1,2,team_b_win,0.21526361735576002,0.23368077500994408,0.5510556076342958
54,A,South Africa,South Korea,Mexico,"Estadio BBVA, Monterrey",Estadio BBVA,Monterrey,True,2,2,draw,0.1710397533033051,0.22465905137960882,0.604301195317086
55,E,Curacao,Côte d'Ivoire,United States,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,True,0,1,team_b_win,0.07628072491871807,0.1968800181994378,0.7268392568818441
56,E,Ecuador,Germany,United States,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,True,0,1,team_b_win,0.22057524607237855,0.23468611771838907,0.5447386362092324
57,F,Japan,Sweden,United States,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,True,2,1,team_a_win,0.5841679987087911,0.2282002017313011,0.18763179955990777
58,F,Tunisia,Netherlands,United States,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,True,1,2,team_b_win,0.09716173592623965,0.2047863373582344,0.698051926715526
59,D,United States,Turkey,United States,"SoFi Stadium, Los Angeles",SoFi Stadium,Los Angeles,False,2,3,team_b_win,0.3215067967691688,0.25209399469158644,0.42639920853924473
60,D,Paraguay,Australia,United States,"Levi's Stadium, Santa Clara",Levi's Stadium,Santa Clara,True,1,1,draw,0.42021992145240133,0.2529615519555773,0.32681852659202143
61,I,Norway,France,United States,"Gillette Stadium, Boston",Gillette Stadium,Boston,True,0,0,draw,0.1863564500058768,0.22793551454712366,0.5857080354469996
62,I,Senegal,Iraq,Canada,"BMO Field, Toronto",BMO Field,Toronto,True,1,0,team_a_win,0.6830320126972412,0.2084821748772956,0.10848581242546321
63,H,Cabo Verde,Saudi Arabia,United States,"NRG Stadium, Houston",NRG Stadium,Houston,True,0,2,team_b_win,0.3578057513559211,0.25800817047900726,0.38418607816507166
64,H,Uruguay,Spain,Mexico,"Estadio Akron, Guadalajara",Estadio Akron,Guadalajara,True,1,3,team_b_win,0.09426779270276801,0.20378383241874237,0.7019483748784895
65,G,Egypt,Iran,United States,"Lumen Field, Seattle",Lumen Field,Seattle,True,2,1,team_a_win,0.4185600876939645,0.25319436197267386,0.3282455503333616
66,G,New Zealand,Belgium,Canada,"BC Place, Vancouver",BC Place,Vancouver,True,0,1,team_b_win,0.05260631283030836,0.18514372456242117,0.7622499626072704
67,L,Panama,England,United States,"MetLife Stadium, East Rutherford",MetLife Stadium,East Rutherford,True,0,1,team_b_win,0.05971360634808635,0.18910142362817486,0.7511849700237389
68,L,Croatia,Ghana,United States,"Lincoln Financial Field, Philadelphia",Lincoln Financial Field,Philadelphia,True,1,0,team_a_win,0.6849615508585445,0.20802148931514192,0.10701695982631351
69,K,Colombia,Portugal,United States,"Hard Rock Stadium, Miami",Hard Rock Stadium,Miami,True,3,2,team_a_win,0.31045164364126776,0.25028180911889547,0.43926654723983677
70,K,Congo DR,Uzbekistan,United States,"Mercedes-Benz Stadium, Atlanta",Mercedes-Benz Stadium,Atlanta,True,2,3,team_b_win,0.5178008741671489,0.23885661745638742,0.2433425083764637
71,J,Algeria,Austria,United States,"GEHA Field at Arrowhead Stadium, Kansas City",GEHA Field at Arrowhead Stadium,Kansas City,True,0,2,team_b_win,0.323439485068034,0.25240985255013676,0.4241506623818292
72,J,Jordan,Argentina,United States,"AT&T Stadium, Dallas",AT&T Stadium,Dallas,True,0,0,draw,0.0453027512686275,0.18052401895173048,0.774173229779642
